match_id,season,round,home_team,away_team,home_win_rate_last_5,away_win_rate_last_5,home_avg_score_last_5,away_avg_score_last_5,home_avg_margin_last_5,away_avg_margin_last_5,home_win_rate_last_3,away_win_rate_last_3,home_avg_score_last_3,away_avg_score_last_3,home_avg_margin_last_3,away_avg_margin_last_3,win_rate_diff,avg_margin_diff,head_to_head_win_rate,venue_home_win_rate,days_since_last_game_home,days_since_last_game_away,home_ladder_position,away_ladder_position,margin,home_win
8889,2010,4,Richmond,Melbourne,0.0,0.3333333333333333,56.0,67.66666666666667,-61.0,-13.666666666666666,0.0,0.3333333333333333,56.0,67.66666666666667,-61.0,-13.666666666666666,-0.3333333333333333,-47.333333333333336,,0.0,7.0,7.0,10.0,13.0,-55.0,0
8890,2010,4,Geelong,Port Adelaide,0.6666666666666666,0.6666666666666666,114.33333333333333,88.66666666666667,11.0,-3.3333333333333335,0.6666666666666666,0.6666666666666666,114.33333333333333,88.66666666666667,11.0,-3.3333333333333335,0.0,14.333333333333334,,,6.0,7.0,4.0,8.0,95.0,1
8891,2010,4,St Kilda,Fremantle,1.0,1.0,102.66666666666667,118.66666666666667,46.666666666666664,35.666666666666664,1.0,1.0,102.66666666666667,118.66666666666667,46.666666666666664,35.666666666666664,0.0,11.0,,1.0,8.0,7.0,3.0,2.0,15.0,1
8892,2010,5,Western Bulldogs,Adelaide,0.5,0.0,98.0,58.25,7.5,-40.75,0.6666666666666666,0.0,99.66666666666667,57.0,22.0,-35.666666666666664,0.5,48.25,,0.5,6.0,6.0,7.0,10.0,49.0,1
8893,2010,5,Sydney,West Coast,0.75,0.25,104.25,90.0,32.5,-9.25,1.0,0.3333333333333333,109.66666666666667,92.66666666666667,46.0,-1.6666666666666667,0.5,41.75,,1.0,7.0,7.0,5.0,14.0,52.0,1
8894,2010,5,Melbourne,Brisbane Lions,0.5,1.0,84.0,107.5,3.5,25.0,0.6666666666666666,1.0,91.66666666666667,105.33333333333333,23.333333333333332,22.666666666666668,-0.5,-21.5,,0.5,6.0,7.0,9.0,1.0,50.0,1
8895,2010,5,Port Adelaide,St Kilda,0.5,1.0,82.5,104.0,-26.25,38.75,0.3333333333333333,1.0,78.0,106.66666666666667,-39.666666666666664,49.0,-0.5,-65.0,,0.5,6.0,6.0,10.0,2.0,10.0,1
8896,2010,5,Collingwood,Essendon,0.75,0.25,94.75,84.0,18.25,-19.5,0.6666666666666666,0.3333333333333333,83.33333333333333,80.66666666666667,12.333333333333334,-15.666666666666666,0.5,37.75,,1.0,7.0,8.0,6.0,11.0,65.0,1
8897,2010,5,Hawthorn,North Melbourne,0.25,0.25,87.75,74.25,-8.25,-33.25,0.0,0.3333333333333333,78.0,71.66666666666667,-29.666666666666668,-39.666666666666664,0.0,25.0,,,7.0,8.0,12.0,13.0,-12.0,0
8898,2010,5,Fremantle,Richmond,0.75,0.0,112.25,61.5,23.0,-59.5,0.6666666666666666,0.0,110.33333333333333,60.666666666666664,12.0,-60.666666666666664,0.75,82.5,,1.0,7.0,7.0,4.0,10.0,39.0,1
8899,2010,5,Carlton,Geelong,0.5,0.75,96.5,125.5,16.25,32.0,0.3333333333333333,0.6666666666666666,88.66666666666667,125.66666666666667,3.0,32.333333333333336,-0.25,-15.75,,0.0,8.0,8.0,8.0,3.0,36.0,1
8900,2010,6,Western Bulldogs,St Kilda,0.6,0.8,102.6,92.0,15.8,29.0,0.6666666666666666,0.6666666666666666,100.0,73.66666666666667,14.333333333333334,11.0,-0.20000000000000007,-13.2,,0.6666666666666666,7.0,6.0,7.0,5.0,-3.0,0
8901,2010,6,North Melbourne,Melbourne,0.4,0.6,75.8,87.8,-24.2,12.8,0.6666666666666666,1.0,86.0,97.66666666666667,-1.0,40.333333333333336,-0.19999999999999996,-37.0,,0.5,5.0,6.0,11.0,9.0,26.0,1
8902,2010,6,Adelaide,Port Adelaide,0.0,0.6,61.0,76.8,-42.4,-19.0,0.0,0.3333333333333333,56.0,66.33333333333333,-37.666666666666664,-37.333333333333336,-0.6,-23.4,,0.0,7.0,6.0,10.0,10.0,-23.0,0
8903,2010,6,Essendon,Hawthorn,0.2,0.2,78.2,84.2,-28.6,-9.0,0.3333333333333333,0.0,76.0,71.0,-22.666666666666668,-30.666666666666668,0.0,-19.6,,,6.0,6.0,12.0,13.0,43.0,1
8904,2010,6,Sydney,Brisbane Lions,0.8,0.8,106.4,96.6,36.4,10.0,1.0,0.6666666666666666,108.66666666666667,87.33333333333333,49.0,-0.3333333333333333,0.0,26.4,,1.0,7.0,7.0,4.0,1.0,20.0,1
8905,2010,6,Geelong,Richmond,0.6,0.0,114.0,63.8,18.4,-55.4,0.3333333333333333,0.0,115.0,69.0,17.333333333333332,-49.666666666666664,0.6,73.8,,1.0,5.0,6.0,8.0,10.0,108.0,1
8906,2010,6,Carlton,Collingwood,0.6,0.8,98.0,99.8,20.2,27.6,0.6666666666666666,0.6666666666666666,94.0,94.66666666666667,21.333333333333332,33.666666666666664,-0.20000000000000007,-7.400000000000002,,0.5,6.0,6.0,6.0,2.0,-53.0,0
8907,2010,6,West Coast,Fremantle,0.2,0.8,84.6,112.2,-17.8,26.2,0.3333333333333333,0.6666666666666666,85.0,110.0,-18.0,10.333333333333334,-0.6000000000000001,-44.0,,0.5,8.0,6.0,14.0,3.0,-38.0,0
8908,2010,7,Melbourne,Western Bulldogs,0.6,0.6,91.2,93.2,18.8,22.4,0.6666666666666666,0.3333333333333333,104.66666666666667,82.0,26.333333333333332,8.0,0.0,-3.599999999999998,,0.6666666666666666,6.0,7.0,10.0,9.0,-4.0,0
8910,2010,7,West Coast,Hawthorn,0.2,0.0,82.8,73.4,-19.0,-28.8,0.3333333333333333,0.0,79.0,64.0,-22.333333333333332,-39.666666666666664,0.2,9.8,,0.3333333333333333,5.0,6.0,14.0,13.0,8.0,1
8909,2010,7,Essendon,Port Adelaide,0.4,0.6,80.6,77.0,-13.8,-17.2,0.3333333333333333,0.6666666666666666,79.66666666666667,71.66666666666667,-15.0,-20.666666666666668,-0.19999999999999996,3.3999999999999986,,0.0,6.0,6.0,12.0,7.0,-3.0,0
8912,2010,7,Brisbane Lions,Fremantle,0.6,0.8,91.2,110.8,-0.4,22.6,0.3333333333333333,0.6666666666666666,80.33333333333333,105.33333333333333,-16.0,20.666666666666668,-0.20000000000000007,-23.0,,1.0,7.0,6.0,6.0,1.0,-13.0,0
8911,2010,7,Collingwood,North Melbourne,0.8,0.6,105.0,80.2,31.0,-16.2,1.0,0.6666666666666666,132.66666666666666,82.0,60.666666666666664,-0.6666666666666666,0.20000000000000007,47.2,,1.0,6.0,7.0,2.0,11.0,66.0,1
8913,2010,7,Geelong,Sydney,0.6,1.0,121.2,110.2,33.8,42.0,0.6666666666666666,1.0,129.33333333333334,107.33333333333333,55.666666666666664,37.333333333333336,-0.4,-8.200000000000003,,1.0,7.0,7.0,5.0,4.0,67.0,1
8914,2010,7,Adelaide,Richmond,0.0,0.0,63.4,61.6,-35.8,-65.8,0.0,0.0,67.0,68.0,-40.0,-67.33333333333333,0.0,30.0,,0.0,8.0,7.0,10.0,10.0,50.0,1
8915,2010,7,St Kilda,Carlton,0.8,0.4,82.6,94.4,28.0,-1.6,0.6666666666666666,0.6666666666666666,67.0,103.0,2.6666666666666665,10.333333333333334,0.4,29.6,,1.0,9.0,8.0,3.0,8.0,-61.0,0
8916,2010,8,Fremantle,Collingwood,0.8,0.8,110.8,119.2,16.4,44.0,1.0,1.0,112.0,144.0,30.0,61.333333333333336,0.0,-27.6,,1.0,5.0,5.0,2.0,1.0,-36.0,0
8918,2010,8,Melbourne,West Coast,0.6,0.4,87.4,86.0,18.2,-16.8,0.3333333333333333,0.3333333333333333,82.33333333333333,79.33333333333333,6.666666666666667,-27.333333333333332,0.19999999999999996,35.0,,0.5,7.0,7.0,10.0,12.0,-29.0,0
8917,2010,8,Western Bulldogs,Sydney,0.6,0.8,83.2,98.4,8.8,20.0,0.6666666666666666,0.6666666666666666,79.0,93.66666666666667,16.666666666666668,1.6666666666666667,-0.20000000000000007,-11.2,,,7.0,6.0,9.0,5.0,38.0,1
8920,2010,8,Brisbane Lions,Geelong,0.4,0.6,89.8,126.4,-6.8,45.4,0.0,0.6666666666666666,80.0,118.33333333333333,-27.666666666666668,46.333333333333336,-0.19999999999999996,-52.199999999999996,,0.75,7.0,6.0,7.0,3.0,-81.0,0
